Dataset Name,Question
co-est2002-01-05.csv,how can the counties be divided according to the population in 2000 ?
co-est2002-01-05.csv,show me how countries can be divided by their population in 2000 .
co-est2002-01-05.csv,"looking at the population from 2000 , can you tell which ways the counties could be divided ?"
co-est2002-01-05.csv,according to 2000 populations how can counties be divided
co-est2002-01-05.csv,in what ways can the counties be separated based on their population in 2000 <
co-est2002-01-05.csv,"based on population in 2000 , how will counties be divided ?"
co-est2002-01-05.csv,"based on the population in 2000 , how would the counties be divided ?"
co-est2002-01-05.csv,is there a way for counties to be divided by population in 2000 ?
co-est2002-01-05.csv,identify how counties could be divided according to the population in 2000 .
co-est2002-01-05.csv,what 's the divided number of counties in 2000 according their population ?
co-est2002-01-05.csv,how to classify the counties according to their population for the year 2000 ?
co-est2002-01-05.csv,can you tell me if the counties will be divided according to population in 2000 ?
co-est2002-01-05.csv,how were counties divided by population in 2000 ?
co-est2002-01-05.csv,"according the the population in 2000 , how could the countries be divided ?"
World Happiness Report 2015.csv,which countries have a high freedom score and a low economy score ?
World Happiness Report 2015.csv,which countries scored low in economy and high in freedom ?
World Happiness Report 2015.csv,what countries score high in freedom and low in economy ?
World Happiness Report 2015.csv,which countries score low in economics and high in freedom ?
World Happiness Report 2015.csv,tell me which countries score high in freedom and low on economy .
World Happiness Report 2015.csv,name the countries that have a high freedom score and low economy score
World Happiness Report 2015.csv,"determine which countries have high scores on freedom , yet underperform in their economy scores ."
World Happiness Report 2015.csv,can you show me the countries that have a high freedom score as well as a low economy score ?
World Happiness Report 2015.csv,show which countries have the lowest economy score but highest freedom score .
World Happiness Report 2015.csv,what are the countries that have both a high freedom score and a low economy score ?
World Happiness Report 2015.csv,list countries that score poorly economically but have a high freedom score .
World Happiness Report 2015.csv,list which countries match the criteria of a having a high freedom score and a low economy score .
World Happiness Report 2015.csv,is there any clustering in the gdp when countries have a happiness score higher than 5 ?
World Happiness Report 2015.csv,does the gdp cluster when countries have a happiness score higher than 5 ?
World Happiness Report 2015.csv,"when countries have a happiness score more than 5 , does the research show any clustering of gdp ?"
World Happiness Report 2015.csv,"when the happiness score is greater than 5 , is there any countries that have clustering in the gdp ."
World Happiness Report 2015.csv,do countries with a happiness score above 5 show any clustering in the gdp ?
World Happiness Report 2015.csv,can you show me if there is any clustering in gdp in countries that have a happiness score higher than 5 ?
World Happiness Report 2015.csv,can you see if there is any clustering in the gdp when a country has a happiness score of higher than 5 ?
World Happiness Report 2015.csv,"when a country has a happiness score greater then five , does the gdp do any clustering ?"
World Happiness Report 2015.csv,when countries have a happiness score of 5 or higher is there any clustering in the gdp ?
World Happiness Report 2015.csv,do any countries that have a happiness score higher than 5 have a clustering in the gdp ?
World Happiness Report 2015.csv,"when countries have a happiness score greater than 5 , is there any clustering of gdp ?"
World Happiness Report 2015.csv,is there any gathering of countries by gdp when the happiness score is above 5 ?
World Happiness Report 2015.csv,show me any clustering there may be in the gdp that has a happiness score of larger than 5 .
World Happiness Report 2015.csv,please identify clusters in gdp of countries that score higher than 5 .
World Happiness Report 2015.csv,is there any gdp group that have countries with a happiness score higher than 5 ?
World Happiness Report 2015.csv,is there a relationship between a happiness score higher than 5 and the gdp ?
World Happiness Report 2015.csv,"with a happiness score higher than 5 , can you see a clump in the gdp of the countries ?"
life-expectancy-by-state.csv,can we divide the cpi ( per capita income ) of chinese provinces into several categories ?
life-expectancy-by-state.csv,"is it possible to divide , into several categories , the cpi ( per capita income ) of chinese provinces ?"
life-expectancy-by-state.csv,is it possible to categorize chinese provinces based on their per capita income ?
life-expectancy-by-state.csv,is it possible divide the cpi ( per capita income ) of chinese provinces into several categories ?
life-expectancy-by-state.csv,can the cpi (per capita income ) of chinese provinces be categorized into several groups ?
life-expectancy-by-state.csv,will we be able to divide the cpi ( per capita income ) of chinese provinces into many categories ?
life-expectancy-by-state.csv,can the cpi ( per capita income ) of chinese provinces be divided into several categories ?
life-expectancy-by-state.csv,can i see the chinese provinces ' per capita income in several categories ?
life-expectancy-by-state.csv,"for the chinese provinces , is it possible to divide the cpi ( per capita income ) into several categories ?"
life-expectancy-by-state.csv,what categories can be used to divide the cpi ( per capital income ) of chinese provinces ?
life-expectancy-by-state.csv,is dividing the cpi of chinese provinces into several categories a possibility ?
life-expectancy-by-state.csv,what categories can we place the cpi ( per capita income ) into of chinese provinces ?
life-expectancy-by-state.csv,please provide the cpi ( per capita income ) of chinese provinces into several categories ?
life-expectancy-by-state.csv,please divide the cpi (per capita income ) of provinces in china into multiple categories .
life-expectancy-by-state.csv,please split the cpi ( per capita income ) of chinese provinces into multiple categories
life-expectancy-by-state.csv,see if you can split the cpi ( per capita income ) of chinese provinces into several groups ?
life-expectancy-by-state.csv,can russian cities be grouped by population ?
life-expectancy-by-state.csv,is it possible for russian cities to be grouped in terms of population ?
life-expectancy-by-state.csv,is it possible to group russian cities by their population ?
life-expectancy-by-state.csv,can we group russian cities by population ?
life-expectancy-by-state.csv,is it possible to group russian cities by population ?
life-expectancy-by-state.csv,can cities in russia be sorted by their population ?
life-expectancy-by-state.csv,is it possible for russian cities to be grouped by population
life-expectancy-by-state.csv,can you grouped the russian cities by population ?
life-expectancy-by-state.csv,can we group the russian cities on the basis of the population ?
life-expectancy-by-state.csv,i want to see cities in russia grouped by population .
life-expectancy-by-state.csv,can you group russian cities by population
life-expectancy-by-state.csv,please use population to group russian cities .
life-expectancy-by-state.csv,can we group all russian cities by population ?
life-expectancy-by-state.csv,please group the cities in russia according to their population .
life-expectancy-by-state.csv,determine if russian cities can be grouped by population .
marry.csv,is the structure of people in simiyu similar to that in katavi ?
marry.csv,would you say that the structure of the people in katavi is almost the same as in simiyu ?
marry.csv,are the structures of the simiyu and katavi people similar ?
marry.csv,is the structure of people in katavi similiar to that in simiyu ?
marry.csv,are the structures of people similar in simiyu and katavi ?
marry.csv,"in simiyu , do you see a similar structure of people as seen in katavi ?"
marry.csv,does simiyu have a similar structure of peope as that of katavi ?
marry.csv,are the people in simiyu structured similarly to those in katavi ?
marry.csv,are the structure of people in katavi similar to the structure of people in simiyu ?
marry.csv,are there similarities between the people structure in simiyu and katavi ?
marry.csv,can we say that the structure of the simiyu population is comparable to that of the katavi ?
marry.csv,can you tell me if the structure of people in simiyu is similar to katavi .
marry.csv,is katavi similar in structure to simiyu ?
marry.csv,in what way is the structure of those in simiyu similar to those in katavi ?
marry.csv,compare the structure of people in simiyu and determine if it resembles the structure in katavi .
marry.csv,how is the structure of people in simiyu similar to katavi ?
marry.csv,is the structure of people in simiyu equal to that in katavi ?
googleplaystore.csv,is there any clustering of the app size among the gaming apps ?
googleplaystore.csv,"amongst gaming apps , is there any clustering with respect to app size ?"
googleplaystore.csv,tell me if the app size among gaming apps have clustering
googleplaystore.csv,"among the gaming apps , are you able to find any clustering of the app size itself ?"
googleplaystore.csv,can you tell me if among the gaming apps there is any clustering of the app size ?
googleplaystore.csv,where is the clustering of the app size among the gaming apps ?
googleplaystore.csv,"looking at app size of gaming apps , are there groups of sizes that are commonly seen ?"
googleplaystore.csv,do gaming apps show app size clustering at all ?
googleplaystore.csv,does the app size cluster among the gaming apps ?
googleplaystore.csv,tell me if there is any clustering of the app sizes for the gaming apps
googleplaystore.csv,what are the clustering of the app size among the gaming apps ?
googleplaystore.csv,is there a grouping in app size among the gaming apps ?
googleplaystore.csv,what clustering of app size exists among the gaming apps ?
googleplaystore.csv,do the app sizes cluster with certain gaming apps ?
googleplaystore.csv,are there any noticeable similarities of the size of the gaming apps ?
googleplaystore.csv,find the latent groups according to the number of reviews of the gaming apps .
googleplaystore.csv,locate the latent groups according to the number of reviews of the gaming apps .
googleplaystore.csv,give me the latent groups according to the amount of gaming app reviews .
googleplaystore.csv,"based on the number of reviews that gaming apps have recieved , identify the latent groups ."
googleplaystore.csv,what are the latent groups according to the amount of reviews of the gaming app ?
googleplaystore.csv,show me the gaming apps ' latent groups by number of reviews .
