Dataset Name,Question
World Happiness Report 2015.csv,sort the countries into two groups based on whether they are happy or not .
World Happiness Report 2015.csv,"determine whether the countries are happy or not , and separate them into two groups accordingly ."
World Happiness Report 2015.csv,organize the countries into two sets : those that are happy and those that are unhappy .
World Happiness Report 2015.csv,"based on happiness , split the countries into two different categories ."
World Happiness Report 2015.csv,categorize these countries into two lists based on whether or not they are happy .
World Happiness Report 2015.csv,"the countries need to be sorted into one of two groups , happy or not happy"
World Happiness Report 2015.csv,"show me two groups of countries , one being those that are happy and the other being those that are not ."
World Happiness Report 2015.csv,"create two groups of countries , happy ones and unhappy ones"
World Happiness Report 2015.csv,sort countries by happy and not happy .
World Happiness Report 2015.csv,please list and separate all the countries based on which are happy and which are not ?
World Happiness Report 2015.csv,for the countries listed place them into a happy group or a not happy group .
World Happiness Report 2015.csv,countries are to be sorted via happy or not happy groups .
World Happiness Report 2015.csv,"depending on whether they are happy or not , sort the countries into two"
