Dataset Name,Question
co-est2002-01-05.csv,what is the mean population in 2000 ?
co-est2002-01-05.csv,can you tell me what the mean population is in 2000 ?
co-est2002-01-05.csv,could you tell me the average populace in 2000 ?
co-est2002-01-05.csv,show me the mean population in 2000 .
co-est2002-01-05.csv,what was the average amount of people in the year 2000 ?
co-est2002-01-05.csv,tell me the mean population in 2000 .
co-est2002-01-05.csv,in the year 2000 what was mean population ?
co-est2002-01-05.csv,what is the average population in 2000 ?
co-est2002-01-05.csv,"in 2000 , what is the mean population ?"
co-est2002-01-05.csv,tell me the average population in the year 2000 .
co-est2002-01-05.csv,what is the mean population of ashley in 2000 ?
co-est2002-01-05.csv,tell me what the mean population of ashley was in 2000 .
co-est2002-01-05.csv,please tell me the average ashley populace in 2000
co-est2002-01-05.csv,"in 2000 , what is the mean population of ashley ?"
co-est2002-01-05.csv,tell me the average amount of people in ashley for the year 2000 .
co-est2002-01-05.csv,what was ashley 's average population in the year 2000 ?
co-est2002-01-05.csv,"in the year 2000 , what was the average amount of citizens in ashley ?"
co-est2002-01-05.csv,tell me the mean population of ashley in 2000 .
co-est2002-01-05.csv,"i would like to know , for the year 2000 , the mean population for the area of ashley ."
co-est2002-01-05.csv,what is the average population of ashley in 2000 ?
co-est2002-01-05.csv,can you tell me what is the average population of ashley in 2000 ?
co-est2002-01-05.csv,give me the average population rating for ashley in the year 2000 .
co-est2002-01-05.csv,retrieve the mean population in 2000 for ashley
co-est2002-01-05.csv,retrieve the mean population of ashley in 2000 for me
top-50-us-universities.csv,how many universities are located in new york ?
top-50-us-universities.csv,what is the number of universities found in new york ?
top-50-us-universities.csv,what is the number of universities that are in the state of new york ?
top-50-us-universities.csv,how many universities does new york have ?
top-50-us-universities.csv,what are the number of universities in the state of new york ?
top-50-us-universities.csv,number of universities located in new york .
top-50-us-universities.csv,what number of universities are based in new york ?
top-50-us-universities.csv,i 'd like to know how many universities are in new york .
top-50-us-universities.csv,can you tell me how many universities are located in new york ?
top-50-us-universities.csv,please give me the number of universities that are based in the state of new york .
top-50-us-universities.csv,find out the number of universities from new york .
top-50-us-universities.csv,give me the amount of universities that are located in new york .
top-50-us-universities.csv,"within the state of new york , there are how many universities ?"
top-50-us-universities.csv,new york has how many universities located in it ?
top-50-us-universities.csv,new york has how many universities in it ?
grade-records.csv,how many students received an a in this exam ?
grade-records.csv,what was the total number of students that received an a on the exam ?
grade-records.csv,"in the current exam , how many students received an a ?"
grade-records.csv,what is the number of students that received an a on this exam ?
grade-records.csv,what is the number of students that received an a grade on this exam ?
grade-records.csv,"on this final exam , how many students got an a ?"
grade-records.csv,show me the number of students that received an a in this exam .
grade-records.csv,can you tell me how many students earned an a on this test ?
grade-records.csv,"on this test , what amount of students earned an a ?"
grade-records.csv,i need the number of students that got an a on the test .
