Dataset Name,Question
life-expectancy-by-state.csv,can you tell me the tendency of the number of vehicles in japan and korea between 2000 and 2010 ?
life-expectancy-by-state.csv,how did the number of vehicles change between 2000 and 2010 in the countries of japan and korea ?
life-expectancy-by-state.csv,"considering the number of vehicles in japan and korea between 2000 and 2010 , what is the tendency ?"
life-expectancy-by-state.csv,"in japan and korea , what was the trend for the number of vehicles between 2000 and 2010 ?"
life-expectancy-by-state.csv,what is the tendency number of vehicles in japan and korea in the time frame of 2000 to 2010 ?
life-expectancy-by-state.csv,in japan and korea between 2000 and 2010 what is the number of vehicles in these countries ?
life-expectancy-by-state.csv,"in japan and korea between 200 and 2010 , what is the tendency of the number of vehicles ?"
life-expectancy-by-state.csv,what was the number of vehicle tendencies in japan and korea between 2000 -2010 ?
life-expectancy-by-state.csv,what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010 ?
life-expectancy-by-state.csv,"in japan and korea , how many vehicles were there between 2000 and 2010 ?"
life-expectancy-by-state.csv,what number of cars were in japan and korea between 2000 and 2010 ?
life-expectancy-by-state.csv,how many vehicles were there in japan and korea between 2000 and 2010 ?
life-expectancy-by-state.csv,what is the fluctuation of distribution of vehicles in japan and korea starting with with the years 2000 through 2010 ?
life-expectancy-by-state.csv,"from 2000 to 2010 , in japan and korea , what were the number of vehicles in the populous ?"
life-expectancy-by-state.csv,how many vehicles on average were there in japan and korea between 2000 and 2010 ?
life-expectancy-by-state.csv,what is the average number of cars in japan and korea between 2000 -2010 ?
life-expectancy-by-state.csv,what is the type and number of the total vehicles in japan and korea during 2000 to 2010 ?
marry.csv,does the area with a large number of separated people also have a large number of divorced people ?
marry.csv,is the area with a larger population of separated people also include having a large divorced population ?
marry.csv,"in areas where there are many separated people , are there also a lot of divorced people ?"
marry.csv,does the area with lots of separated people also have lots of divorced people ?
marry.csv,is the region with a lot of separated people also have a lot of divorced people ?
marry.csv,"looking at the area with a large number of seperated people , does it have a large number of divorced people ?"
marry.csv,"in areas with a lot of separated people , are there also a large number of divorced people ?"
marry.csv,"is it true that if the location has a huge number of separated people , it would equate to a huge number of divorced people as well ?"
marry.csv,does the location share a similar substantial amount when comparing separated and divorced individuals ?
marry.csv,can you tell what area has a larger number of separated people also have the large number of divorced people ?
marry.csv,can you show me if an area with a large number of separated people also have a large number of divorced people .
marry.csv,"in the same area , do you large numbers of both separated people and divorced people ?"
marry.csv,tell me if the are with the larger amount of separated people also have a large amount of divorced people .
marry.csv,"if you look at a certain area , do you think that there will be a large number of both separated and divorced people ?"
