Dataset Name,Question
co-est2002-01-05.csv,what is the population range in ashley in 2000 ?
co-est2002-01-05.csv,show me the population range in ashley in 2000 .
co-est2002-01-05.csv,show the range of population in ashley in 2000 .
co-est2002-01-05.csv,in the year 2000 what was the range in population for ashley ?
co-est2002-01-05.csv,show the population range for ashley in 2000 .
co-est2002-01-05.csv,show me the population range of ashley in 2000 .
co-est2002-01-05.csv,"for the year 2000 , give ashley 's population range"
co-est2002-01-05.csv,define the range of population in ashley in the year 2000 ?
co-est2002-01-05.csv,in the year 2000 show the population range in ashley ?
co-est2002-01-05.csv,tell me what the population range is in ashley in the year 2000 .
co-est2002-01-05.csv,in ashley in 2000 provide the population range .
co-est2002-01-05.csv,can you tell me the range of population for ashley in the year 2000 ?
co-est2002-01-05.csv,can you tell me the population range in ashley in 2020 ?
co-est2002-01-05.csv,"in the year 2000 , what was the population in ashley ?"
World Happiness Report 2015.csv,what is the range of the happiness score in western europe ?
World Happiness Report 2015.csv,show me the range of the happiness score in western europe .
World Happiness Report 2015.csv,show me the range of happiness score in western europe .
World Happiness Report 2015.csv,retrieve the range of the happiness score in western europe .
World Happiness Report 2015.csv,show me the range of happiness scores in western european countries .
World Happiness Report 2015.csv,can you tell me the range of happiness score in western europe ?
World Happiness Report 2015.csv,find me the range of the happiness score in western europe .
World Happiness Report 2015.csv,in western europe what is the range of scores of happiness ?
World Happiness Report 2015.csv,"among western european nations , what is the range in happiness scores ?"
World Happiness Report 2015.csv,what does the happiness score range from in western europe ?
World Happiness Report 2015.csv,can you find the range of the happiness score in western europe ?
World Happiness Report 2015.csv,western europe has what range of happiness score ?
World Happiness Report 2015.csv,can you tell me the western european happiness score scale ?
World Happiness Report 2015.csv,please identify the parameters of the happiness score in western europe .
World Happiness Report 2015.csv,what are the highest and lowest of alll the happiness scores of all nations in western europee ?
sub-est2002-01.csv,what is the range of new york 's population in the last ten years ?
sub-est2002-01.csv,can you tell me the range of population in new york for the last ten years ?
sub-est2002-01.csv,"in the last decade , name the range of ny 's population ."
sub-est2002-01.csv,can you tell me the range of new york 's population in the last ten years ?
sub-est2002-01.csv,"over the past decade , what is the range of the population of new york ?"
sub-est2002-01.csv,"in the last decade , what is the range of ny 's population ?"
sub-est2002-01.csv,in the past ten years what is new york 's population range ?
sub-est2002-01.csv,what was the range of population in new york in the last decade ?
sub-est2002-01.csv,over the last ten years what was the range of new york 's population ?
sub-est2002-01.csv,show me the range of new york 's population in the last ten years .
sub-est2002-01.csv,tell me the range of new york 's population over the past decade .
sub-est2002-01.csv,"within the past ten years , identify the range of the population of new york ."
sub-est2002-01.csv,"in the last ten years , new york 's population had what range ?"
sub-est2002-01.csv,new york had what range of population in the last ten years ?
sub-est2002-01.csv,show me the range of new york 's population in the last ten year .
sub-est2002-01.csv,"in the last decade , what is the minimum and maximum population of new york ?"
sub-est2002-01.csv,how much of a range is new york 's population show during the last ten years ?
sub-est2002-01.csv,please provide the population for new york based on the last ten years .
student-mat.csv,show the student that travels for less than 30 minutes but more than 5 minutes .
student-mat.csv,which student travels for less than 30 minutes but more than 5 ?
student-mat.csv,which student travels more than 5 minutes but less than 30 minutes .
student-mat.csv,"which student travels for greater than 5 , but less than 30 minutes ?"
student-mat.csv,list the student who travels for less than 30 minutes but more than 5 .
student-mat.csv,which student travels between 5 and 30 minutes ?
student-mat.csv,provide the student that travels more than 5 minutes but less than 30 .
student-mat.csv,what student travels for less than 30 mins but more than 5 mins ?
student-mat.csv,tell me the student that travels for less than 30 minutes but more than 5 minutes .
student-mat.csv,which student travels between 5 minutes and 30 minutes ?
student-mat.csv,"present the student who travels for less than half an hour , but more than 5 minutes ."
student-mat.csv,which student has travel for less than 30 minutes but more than 5 minutes ?
student-mat.csv,is there any students that travel for less than 30 minutes but more than 5 ?
student-mat.csv,"show students who 's travel time was more than 5 minutes , but less than 30 ."
student-mat.csv,display which students travel between 5 and 30 minutes .
netflix_titles.csv,on which dates did netflix release movies ?
netflix_titles.csv,show me the dates that netflix released movies .
netflix_titles.csv,please provide me with the dates that netflix has released movies .
netflix_titles.csv,when did netflix release movies ?
netflix_titles.csv,list the dates that netflix 's movies were released .
netflix_titles.csv,list the dates that netflix released movies .
netflix_titles.csv,can you tell me which dates netflix released movies ?
netflix_titles.csv,show me a list of netflix movies by their release dates .
netflix_titles.csv,what dates did netflix release movies ?
netflix_titles.csv,what are the release dates of netflix movies ?
netflix_titles.csv,retrieve the dates that netflix released movies .
netflix_titles.csv,what dates does netflix release movies ?
netflix_titles.csv,what calendar days did netflix premiere movies ?
netflix_titles.csv,what are netflix 's release dates ?
netflix_titles.csv,the netflix movies come out on which days ?
netflix_titles.csv,netflix released films on which dates ?
netflix_titles.csv,netflix releases movies on which date ?
Suicide.csv,what is the range of gdp_per_capita in the albania from 1987 to 2020 ?
Suicide.csv,"in albania , what is the range of gdp per capita from 1987 -2020 ?"
Suicide.csv,from 1987 -2020 in albania what is the range of gdp_per_capita ?
Suicide.csv,in albania during 1987 -2020 what was the range of gdp per capita ?
Suicide.csv,from the years 1987 -2020 what is the gdp_per_capita range in albania ?
Suicide.csv,during 1987 -2020 what is the albania gdp_per_capita ?
Suicide.csv,can you show me the range of gdp_per_capita in albania from 1987 -2020 ?
Suicide.csv,please provide the range of gdp_per_capita in albania for the years 1987 to 2020 .
Suicide.csv,from 1987 to 2020 what was the range of gdp_per_capita in albania ?
