Dataset Name,Question
HFS.csv,show only the top 10 regions in terms of the number of health centers .
HFS.csv,list exclusively the top 10 regions in relation to the number of health centers .
HFS.csv,only list the top 10 regions based on the total amount of health centers .
HFS.csv,"in terms of the number health centers , only show the top ten regions ."
HFS.csv,display only 10 of the top regions with respect to the number of health centres .
HFS.csv,list the top 10 regions based on the number of health centers .
HFS.csv,list only the top 10 regions with the number of health centers .
HFS.csv,what are the top 10 regions in terms of the number of health centers ?
HFS.csv,"in terms of the number of health centers , what are the top 10 regions ?"
HFS.csv,display the ten regions that have the most health centers .
HFS.csv,what are the top 10 regions for number of health centers that they have ?
HFS.csv,list the ten regions with the most health centers
HFS.csv,"find the number of health centers per region , and then only display the top ten ."
HFS.csv,show the 10 regions with the most health centers .
HFS.csv,what are the top 10 areas with the highest amount of health centers ?
HFS.csv,what are the top 10 areas with the most healthcare centers ?
HFS.csv,which 10 regions have the most health centers ?
HFS.csv,indicate the 10 most top regions with respect to the quantity of health centers present .
HFS.csv,"when thinking of health centers , where are the top 10 regions ?"
co-est2002-01-05.csv,rank the county by population in 2000 .
co-est2002-01-05.csv,please rank the county by population in year 2000 .
co-est2002-01-05.csv,make a list of counties in 2000 by population .
co-est2002-01-05.csv,what is the rank for this county on the basis of its population in 2000 ?
co-est2002-01-05.csv,show an ordered list with the county population in 2000 .
co-est2002-01-05.csv,can you rank the country by population in 2000 ?
co-est2002-01-05.csv,for the statistics in 2000 determine the countries rank by population
co-est2002-01-05.csv,sort the country by population in 2000 .
co-est2002-01-05.csv,please rank counties by population in 2000
co-est2002-01-05.csv,classify the counties by population in 2000 .
co-est2002-01-05.csv,can you show me counties ranked by population from the year 2000 ?
co-est2002-01-05.csv,list the counties by population totals for the year 2000 from largest to smallest .
co-est2002-01-05.csv,please rank for me the county by population for the year 2000 ?
co-est2002-01-05.csv,2000 county population by rank
co-est2002-01-05.csv,classify the 2000 population ranking of the county .
top-50-us-universities.csv,order the universities in new york based on the number of teachers .
top-50-us-universities.csv,arrange the new york universities by amount of teachers .
top-50-us-universities.csv,rank the universities in new york according to the number of teachers they have .
top-50-us-universities.csv,arrange the new york universities according to their amount of teachers
top-50-us-universities.csv,please list universities located in new york by the number of teachers each has .
top-50-us-universities.csv,can you sort the universities in new york based on the number of teachers ?
top-50-us-universities.csv,list new york universities in order of how many professors are on teaching staff .
top-50-us-universities.csv,rank new york universities by how many teachers are employed .
top-50-us-universities.csv,list the universities in new york in order of teacher population .
top-50-us-universities.csv,what is the order of new york universities based on the number of teachers ?
top-50-us-universities.csv,"based on highest number of teachers first , put the new york universities in order ."
top-50-us-universities.csv,find the number of teachers at new york universities and create a list based on those numbers .
top-50-us-universities.csv,"using the number of teachers within the universities in new york as your basis , please order them ."
co-est2002-01-05.csv,present the list that ranks all counties according to the population in 2000 .
co-est2002-01-05.csv,make a ranked list of all of the counties based on their 2000 population figures
co-est2002-01-05.csv,can you show me the list that ranks all counties according to population from the year 2000 ?
co-est2002-01-05.csv,provide the list which puts the counties in order in terms of their population for the year of 2000 .
co-est2002-01-05.csv,show the list the that ranks all counties by their population in the year 2000 .
co-est2002-01-05.csv,provide the ranking of all counties given the population in the year 2000 .
co-est2002-01-05.csv,according to the population in 2000 list the rank in all counties .
co-est2002-01-05.csv,can you show the list that ranks all counties according to the population in 2000 ?
co-est2002-01-05.csv,provide the list ranking every counties based on their population on year 2000 .
co-est2002-01-05.csv,please place in order the ranks of all counties based on the population in 2000 .
co-est2002-01-05.csv,what is the ranking of all counties in 2000 by the number of their populations ?
co-est2002-01-05.csv,order each county in 2000 according to their population counts .
co-est2002-01-05.csv,"based on the 2000 population , give a ranked list of all counties"
co-est2002-01-05.csv,rank all the counties according to their population in the year 2000 and present a list of them .
co-est2002-01-05.csv,show the list in the year 2000 which ranks all countries by population .
co-est2002-01-05.csv,show me a ranking from 2000 for counties and its population .
co-est2002-01-05.csv,compile a list that shows the population of all counties in the year 2000 .
JPvideos.csv,"indicate all the videos in the channel "" eminemvevo , "" ranked according to the number of likes ."
JPvideos.csv,"based on the number of likes , please rank the videos in the "" eminemvevo "" channel ."
JPvideos.csv,according to the number of likes rank all the videos in eminemvevo channel
JPvideos.csv,"show all videos on the channel "" eminemvevo "" , arranged by the number of likes ."
JPvideos.csv,"please list all the videos by the number of likes received on the "" eminem /vevo "" channel ."
JPvideos.csv,"rank all the "" eminemvevo "" videos according to the number of likes on that channel ."
JPvideos.csv,"show me all the videos on the "" eminemvevo "" channel , classifying them according to the number of likes ."
JPvideos.csv,"show me all "" eminemvevo "" videos and sort them by number of likes ."
JPvideos.csv,"rank all the videos on "" eminemvevo "" by number of likes ."
JPvideos.csv,"list all the videos ranked according to popularity by likes in the channel "" eminemvevo "" ."
JPvideos.csv,"can you rank all videos from "" eminemvevo , "" in regards to the number of likes ?"
JPvideos.csv,"show the videos ranked relating to number of likes on the channel "" eminemvevo """
JPvideos.csv,"show me the ranks according to the number of likes of all the videos in the channel "" eminemvevo , """
JPvideos.csv,"give me a list of videos , ordered by the number of likes , that are on the channel "" eminemvevo """
JPvideos.csv,show me a list of videos for channel eminemvevo in order of the number of likes
JPvideos.csv,"rank all videos by "" eminemvevo "" according to likes ."
googleplaystore.csv,"list all the expensive apps , from the most recent to the oldest ."
googleplaystore.csv,"tell me the names of the most expensive apps , starting from the newest to oldest ."
googleplaystore.csv,provide me a list of all expensive apps from recent to oldest ?
googleplaystore.csv,i want to see all of the expensive apps listed from the most recent to the oldest .
googleplaystore.csv,from the newest to the oldest please list all the expensive apps .
googleplaystore.csv,give me a list of expensive apps ranging from the newest to the oldest app .
googleplaystore.csv,"starting from newest to oldest , show me a list of all the expensive apps ."
googleplaystore.csv,in order of most recent to oldest please list the expensive apps .
googleplaystore.csv,create a list of newest to oldest expensive apps .
googleplaystore.csv,make a list of all the expensive apps in order from newest to oldest .
googleplaystore.csv,"from newest to oldest , list the apps that cost the most ."
googleplaystore.csv,name all the apps that cost the most from newest to oldest .
googleplaystore.csv,"name all the expensive apps , starting with the most recent ."
googleplaystore.csv,"tell me the most pricey apps by release date , recent to oldest ."
googleplaystore.csv,"i want to know all of the most pricey apps , listed from recent apps to the oldest ones created ."
googleplaystore.csv,"what are all apps , ordered from the most recent to the oldest ?"
googleplaystore.csv,show me all the expensive apps starting with the newest .
life-expectancy-by-state.csv,i am eager to obtain the gdp ranking of european countries .
life-expectancy-by-state.csv,i want to get the gdp ranking of european countries as soon as possible .
life-expectancy-by-state.csv,i m so excited to obtain the gdp ranking of european countries .
life-expectancy-by-state.csv,the gdp ranking of european countries is something i am eager to obtain .
life-expectancy-by-state.csv,i cannot wait to obtain the gdp ranking of european countries .
life-expectancy-by-state.csv,i would like to know how the europeans countries rank according to gdp .
life-expectancy-by-state.csv,the gdp ranking of european companies is something that i anticipate obtaining .
life-expectancy-by-state.csv,the gdp european ranking of its countries is something i want .
life-expectancy-by-state.csv,i need to obtain the gdp ranking of european countries .
life-expectancy-by-state.csv,"it is important for me to access comparative , ranked figures for the gdp of the nations in europe"
life-expectancy-by-state.csv,show me the gdp ranking of european countries .
life-expectancy-by-state.csv,"for all european countries , what is their gdp ranking ?"
life-expectancy-by-state.csv,what is the gdp ranking of all european countries ?
life-expectancy-by-state.csv,what is the gdp ranking of european countries ?
life-expectancy-by-state.csv,can you tell me the ranking of chinese provinces according to their happiness index ?
life-expectancy-by-state.csv,what is the rank of chinese provinces based on their happiness index ?
life-expectancy-by-state.csv,what is the rank of the chinese provinces according to their happiness index ?
life-expectancy-by-state.csv,can you show me the happiness index ranking of chinese provinces ?
life-expectancy-by-state.csv,what is the ranking of chinese provinces in accordance to their happiness index ?
life-expectancy-by-state.csv,how do chinese provinces rank according to their happiness index ?
life-expectancy-by-state.csv,what is the ranking of chinese provinces according to their happiness index ?
life-expectancy-by-state.csv,please give me the happiness index ranking of the chinese provinces .
life-expectancy-by-state.csv,"according to the happiness index , how does each chinese province rank ?"
life-expectancy-by-state.csv,"i would like to know the happiness index of the chinese privinces , arranged in ranked sequence ."
life-expectancy-by-state.csv,"who knows the ranking of chinese provinces according to their happiness index , ?"
life-expectancy-by-state.csv,please tell me the happiness index ranking of chinese provinces .
life-expectancy-by-state.csv,according to the happiness index what are the rankings of the chinese provinces ?
life-expectancy-by-state.csv,"based on their happiness index , list the ranking of chinese provinces ."
life-expectancy-by-state.csv,show the happiness index rankings for the provinces in china .
life-expectancy-by-state.csv,rank chinese provinces according to their happiness index .
life-expectancy-by-state.csv,what is the happiness index of each of the chinese provinces ?
life-expectancy-by-state.csv,list all the chinese provinces by their happiness index .
top250-00-19.csv,sort the players by their market value in the 2010–2011 season .
top250-00-19.csv,arrange the 2010 -2011 season 's players according to their market value .
top250-00-19.csv,arrange the players by their market value in the 2010 -2011 season .
top250-00-19.csv,arrange the players of the 2010 -2011 season by their market value .
top250-00-19.csv,display the players in a list by ranking them according to their market value in the 2010 -2011 season .
top250-00-19.csv,list and organize players by their market value for the 2011 -2012 season .
top250-00-19.csv,arrange the 2010 -2011 season players by their market value .
top250-00-19.csv,rank the players by their market value in the 2010–2011 season .
top250-00-19.csv,in the 2010 -2011 season sort the players according to their market value .
top250-00-19.csv,create a list of players by their market value for the 2010 -2011 season .
top250-00-19.csv,take the players in 2010 -2011 season and sort them by their market value
top250-00-19.csv,"based on their market value during the 2010 -2011 season , please rank the players ."
top250-00-19.csv,list the players by their 2010 -2011 market value .
top250-00-19.csv,list the players for the 2010 -2011 season starting with highest market value to least
top250-00-19.csv,can you please sort the players by their market value in the 210 -2011 season ?
top250-00-19.csv,sort the players by their market value in the 201 -2011 season .
top250-00-19.csv,"for the 2010 -2011 season , filter the players by market value ."
top250-00-19.csv,give me a list of 2010 -2011 season players in order of market value .
top250-00-19.csv,what is the ranking of the players according to age in the premier league in the 2012–2013 season ?
top250-00-19.csv,show me the ranking of the players according to age in the premier league in the 2012 -2013 season .
top250-00-19.csv,"in the 2012 -2013 premier league season , list the ranking of the players according to their age ."
top250-00-19.csv,rank the 2012 -2013 premier league players according to age .
top250-00-19.csv,please inform me of the player ranking according to age in the premier league during the 2012 -2013 season .
top250-00-19.csv,show me the ranking of the players in the premier league in the 2012 -2013 season according to age .
top250-00-19.csv,"in 2012 -2013 season , tell me the ranking by age of the players in the premier league"
top250-00-19.csv,how do the 2012 -2013 season premier league players rank by age ?
top250-00-19.csv,please rank the 2012 -2013 season premier league players by age .
top250-00-19.csv,rank the ages of the players in the 2012 -2013 season of the premier league .
top250-00-19.csv,tell me the ranking of the players by age in the premier league in the 2012 -2013 season .
top250-00-19.csv,listing by age what is the ranking of the players for the 2012 -2013 season in the premier league
top250-00-19.csv,"for the premier league , 2012 -2 -13 , rank the players by age ."
top250-00-19.csv,"in 2012 -2013 season , can you tell me the ranking of the players according to age ?"
top250-00-19.csv,show me the players in the 2012 -2013 season in the premier league ranked by age .
top250-00-19.csv,"can you show me the players playing in the premier league during 2012 to 2013 , listed from oldest to youngest ?"
top250-00-19.csv,rank the players in the premier league in the 2012 -1013 by age .
top250-00-19.csv,identify the attacking midfielders and rank them according to their market_fee .
top250-00-19.csv,find all attacking midfielders and then rank them based on their market_ fee .
top250-00-19.csv,rank all of the attacking midfielders according to their market_fee .
top250-00-19.csv,"find the attacking midfielders , then sort them by their market fee ."
top250-00-19.csv,find the attacking midfielders and list them by their market_fee
top250-00-19.csv,categorize the attacking midfielders and place them in a rank in accordance to their market fee .
top250-00-19.csv,show me the midfielders that attacked and rank them by their market_fee .
top250-00-19.csv,rank the attacking midfielders based on their market_fee .
top250-00-19.csv,can you tell me the attacking midfielders and also rank them in accordance to their market_fee ?
top250-00-19.csv,list the attacking midfielders by their market fee .
top250-00-19.csv,distinguish the assaulting midfielders and rank them as per their market_fee .
top250-00-19.csv,show me the attacking midfielders and organize them by their market fee .
top250-00-19.csv,show me who the attacking midfielders are and rank them according to their market fee .
top250-00-19.csv,"who are the attacking midfielders , ranked by market fee ?"
top250-00-19.csv,who are the attacking midfielders and list them in order of their market fee .
top250-00-19.csv,what are the attacking midfielders ranked in accordance to their market fee ?
golden_globe_awards.csv,"list the films that received awards in the 60th ceremony according to their production year , from the earliest to the latest ."
golden_globe_awards.csv,rank all of the films that recieved awards at the 60th ceremony from the earliest production year to the latest .
golden_globe_awards.csv,"starting with the earliest and ending with the latest , please list the films that received awards in the 60th ceremony according to their production year ."
golden_globe_awards.csv,"chronlogically , from earliest to latest , what films received awards in the 60 ceremony by production year ?"
golden_globe_awards.csv,"from earliest production year to latest , which films received awards in the 60th ceremony ?"
golden_globe_awards.csv,list films by production year earliest -latest that got awards in the 60th ceremony ?
golden_globe_awards.csv,"please retrieve in chronological order ( from earliest to latest by production year ) , the films that received awards in the 60th ceremony ."
golden_globe_awards.csv,"give me a list of films that received awards in the 60th ceremony according to their production year , from the earliest to the latest ."
golden_globe_awards.csv,show me films from earliest to latest according to their production year that received awards in the 60th ceremony .
golden_globe_awards.csv,"from earliest to latest production year , make a list of films that won awards at the 60th ceremony ."
golden_globe_awards.csv,from earliest to latest list the awards received for films in the 60th ceremony according to production year
golden_globe_awards.csv,please list from earliest to latest by production year all of the films for the 60th ceremony that received awards .
golden_globe_awards.csv,tell me the films that were awarded a win in the 60th ceremony from earliest to latest production year .
golden_globe_awards.csv,"tell me from earliest to latest production year , what films received awards at the 60th ceremony ?"
golden_globe_awards.csv,according to production year list films that received award from the earilest to the latest for the 60th ceremonys .
Suicide.csv,what is the gdp ranking of china in 2000 ?
Suicide.csv,in 2000 what was china 's gdp ranking ?
Suicide.csv,"what rank was china in 2020 , considering the global gdp ?"
Suicide.csv,"in the year 2000 , what is china 's gdp rank ?"
Suicide.csv,"in 2000 , what was china 's gdp global ranking ?"
Suicide.csv,"in 2000 , what is china 's gdp ranking ?"
Suicide.csv,"in the year 2000 , how high was china 's gdp ranking ?"
Suicide.csv,"in 2000 , what was the gdp ranking of china ."
Suicide.csv,how did china rank in terms of gdp in 2000
Suicide.csv,"in the year 2000 , what is the gdp raking of china ?"
Suicide.csv,what ranking did china receive for their gdp in 2000 ?
Suicide.csv,can you tell me what is the gdp ranking of china in 2000 ?
Suicide.csv,can you tell me the gdp ranking of china in 2000 ?
Suicide.csv,for china in the year 2000 report the gdp ranking
population.csv,rank the counties in california by their total population .
population.csv,please rank california 's counties by their total population .
population.csv,put the counties of california in order by total population .
population.csv,please rank california 's counties by total population .
population.csv,can you rank california 's counties according to their total population ?
population.csv,how do the counties in california rank in terms of total population ?
population.csv,sort california counties by total population .
population.csv,list all the counties in california according to their total population .
population.csv,please list california 's counties in order of their population .
population.csv,list the counties in california from those having the most residents to counties with the least residents .
population.csv,california counties ranked by total population .
population.csv,please arrange the counties in california by population in descending order .
population.csv,"list in descending order , the counties in california by total population"
population.csv,"by total population , what is the ranking of all counties in california ?"
population.csv,in california classify the counties on their total population .
population.csv,what is the total population ranking of the counties in california ?
schools.csv,rank the regions by the pass rate of private schools in 2020 .
schools.csv,"using 2020 pass rate data for private schools , rank each region ."
schools.csv,show me a raking of the regions according to the 2020 pass rate of their private schools .
schools.csv,"please tell me the regions , ranked by their private school pass rate in 2020 ."
schools.csv,"for 2020 , display the regions ranked by the pass rate of the private schools in that region ."
schools.csv,please rank each region by the pass rate of their private schools in 2020
schools.csv,"for the year 2020 , sort the private schools in each region by pass rate ."
schools.csv,please reorder the regions based on the pass rate of private schools in 2020 .
schools.csv,retrieve the ranking of regions according to pass rate of private schools in 2020 .
schools.csv,"based on the pass rate of private schools in 2020 , sort the regions ."
schools.csv,"going by 2020 private school pass rates , please rank the school regions ."
schools.csv,"for 2020 , compile a top of the regions based on the pass rate of private schools ."
schools.csv,arrange the regions in descending order based on their pass percentage of private schools in 2020 .
schools.csv,can you provide a list that ranks regions by the pass rate of private schools in 2020 ?
schools.csv,rank the passing rate of private school pass rate by region in 2020
schools.csv,make a list of the top regions by passage rate of private schools in 2020 .
schools.csv,find the regions with the highest pass rates of private schools in 2020 and list them from highest to lowest .
schools.csv,show me regions of private schools by rank of their pass rate in 2020 .
