Dataset Name,Question
schools.csv,list the regions that have both schools in the top 10 and in the bottom 10 .
schools.csv,can you name the regions that have both top 10 and bottom 10 schools ?
schools.csv,provide a list of the regions having schools in both the uppermost 10 and in the lowest 10 .
schools.csv,what are the regions with schools both in the top and bottom 10 ?
schools.csv,list the regions that have the top 10 and bottom 10 of schools
schools.csv,identify the regions that have both schools in the top 10 and in the bottom 10 .
schools.csv,show all regions where schools are ranked in both the top 10 as well as bottom 10 .
schools.csv,which regions have schools listed in both the top 10 and bottom 10
schools.csv,please write the areas that have schools that are listed in both the top 10 and bottom 10 .
schools.csv,which regions have schools in both the top 10 and the bottom 10 ?
schools.csv,what regions have schools both in the top 10 and in the bottom 10 ?
schools.csv,which geographical areas have top and bottom ranking schools within a range of 10 .
schools.csv,tell me the regions that have schools in both the top 10 and the bottom 10 .
schools.csv,list all regions with schools in top 10 and bottom 10 school rank
schools.csv,show me the regions that have both top 10 schools and bottom 10 schools .
schools.csv,which regions contain schools both in the bottom 10 and the top 1 - ?
schools.csv,can you tell me the regions with schools in the top and bottom 10 ?
schools.csv,what regions have both schools in the top 10 ? what about the bottom 10 ?
