Dataset Name,Question
JPvideos.csv,"what are the top 10 videos in terms of likes in the channel "" eminemvevo "" ?"
JPvideos.csv,"in the "" eminemvevo "" channel , what are the top -10 most liked videos ?"
JPvideos.csv,which viideos in the channel “eminemvevo” are ranked in the top 10 based on likes ?
JPvideos.csv,"what are the 10 most liked videos on the "" eminemvevo "" channel ?"
JPvideos.csv,"in the "" eminemvevo "" channel , which are the top 10 most liked videos ?"
JPvideos.csv,"on the channel "" eminemvevo "" , what are the top 10 most liked videos ?"
JPvideos.csv,"list the top ten most -liked videos on the "" eminemvevo "" channel ."
JPvideos.csv,what are the 10 most liked videos on eminemvevo ?
JPvideos.csv,"name the 10 most liked videos on the "" eminemvevo "" channel ."
JPvideos.csv,"in the channel "" eminemvevo "" which 10 videos received the most likes ?"
JPvideos.csv,"on the "" eminemvevo "" channel , which ten videos have received the most likes ?"
JPvideos.csv,"can you tell me the 10 most liked videos on the channel "" eminemvevo "" ?"
JPvideos.csv,"name the top 10 videos in terms of likes in the channel "" eminemvevo """
JPvideos.csv,"judging by the number of likes on the "" eminemvevo "" channel , what are the top 10 videos there ?"
JPvideos.csv,"rank the ten most liked videos from the "" eminemvevo "" channel ."
JPvideos.csv,"give me a list of the top 10 videos from the channel "" eminemvevo "" in terms of likes ."
