Dataset Name,Question
World Happiness Report 2015.csv,identify the bottom five countries according to the happiness score .
World Happiness Report 2015.csv,determine the bottom five countries according to the happiness score .
World Happiness Report 2015.csv,show the bottom five countries based on the happiness score .
World Happiness Report 2015.csv,tell me the lowest five countries in the happiness score .
World Happiness Report 2015.csv,"according to the happiness score , which five countries are listed at the bottom ?"
World Happiness Report 2015.csv,which five countries have the lowest happiness score ?
World Happiness Report 2015.csv,which five countries are at the bottom of the happiness score ?
World Happiness Report 2015.csv,what are the bottom five countries according to their happiness score ?
World Happiness Report 2015.csv,what are the bottom five countries according to the happiness score ?
World Happiness Report 2015.csv,can you tell me which five countries have the lowest happiness score ?
World Happiness Report 2015.csv,what are the five bottom countries based on their happiness scores ?
World Happiness Report 2015.csv,which five countries rank the lowest on the happiness score ?
World Happiness Report 2015.csv,according to happiness score name the countires in the bottom 5 ?
World Happiness Report 2015.csv,which countries have the lowest score for happiness ?
JPvideos.csv,rank the 10 most liked videos .
JPvideos.csv,rank the top 10 videos by most likes .
JPvideos.csv,please show the rankings of the 10 videos with the most likes .
JPvideos.csv,please rank the top -10 most liked videos .
JPvideos.csv,make a ranked list of the 10 videos with the most likes .
JPvideos.csv,list the 10 videos with the most likes
JPvideos.csv,in order of popularity rate the top 10 videos .
JPvideos.csv,show me the rank of the 10 most liked videos .
JPvideos.csv,can you rank the 10 most liked videos ?
JPvideos.csv,can you list the top ten videos with the most likes ?
JPvideos.csv,list the top ten most liked videos .
JPvideos.csv,what are the 10 most liked videos by ranking ?
JPvideos.csv,show me a list of the 10 most liked videos .
JPvideos.csv,please submit your ranking of the 10 most liked videos .
googleplaystore.csv,what are the top five app categories with the highest scores ?
googleplaystore.csv,what five app genres rank the highest ?
googleplaystore.csv,which five app categories have the highest scores ?
googleplaystore.csv,can you tell me the top five app categories with the highest scores :
googleplaystore.csv,what are the highest scoring top five app categories ?
googleplaystore.csv,what are th top app catogories with the best scores
googleplaystore.csv,which five app catagroies have the highest scores ?
googleplaystore.csv,"of the highest scoring apps , what are the first 5 categories ?"
googleplaystore.csv,list the top five app categories with the highest scores .
googleplaystore.csv,name the app categories that are in the top five that have the highest scores .
googleplaystore.csv,do you know the top five app categories with the highest scores ?
googleplaystore.csv,tell me the 5 types of apps with the the best ratings .
googleplaystore.csv,show me the top five app categories reflecting the highest scores .
googleplaystore.csv,tell me the highest scores of app categories and which are the top five .
googleplaystore.csv,indiicate the five app categories ranked by highest scores .
googleplaystore.csv,show me the top five highest rated app catergories
googleplaystore.csv,rank the five app categories by their scores .
marry.csv,provide the three smallest numbers of widowed people in this table .
marry.csv,show me the three smallest numbers of windowed people in this table .
marry.csv,which three areas have the fewest widowed people in this table ?
marry.csv,show me the three smallest numbers of widowed people in this table .
marry.csv,pull the three lowest amounts of widowed people from this table .
marry.csv,"according to this table , what are the 3 lowest numbers of people who are widowed ?"
marry.csv,"in this table , give the three smallest amounts of people who are widowed ."
marry.csv,what are the three smallest numbers of widowed people in this table ?
marry.csv,looking at this table provide the three smallest number of widowed people .
marry.csv,what are the three smallest numbers of those widowed at this table ?
marry.csv,in this table what are the three smallest numbers of widowed people ?
marry.csv,highlight the three smallest numbers of widowed people in the table .
marry.csv,"referencing the chart , indicate the three lowest amounts of widowed individuals ."
marry.csv,in which area is the three smallest numbers of widowed people in this table .
marry.csv,with this table show the three smallest numbers of widowed people .
marry.csv,"when looking at the table , identify the 3 least numbers that refer to women whose spouse has died ."
marry.csv,can you show me the three smallest numbers of widowed people in this table ?
